id,city,country_id,last_update
1,North Mark,2,2022-02-13
2,Brownville,2,2019-11-24
3,Lake Debbie,5,2020-07-14
4,Lake Jamesbury,1,2019-01-13
5,North Carlosstad,4,2018-09-24
6,East Eduardomouth,4,2018-09-02
7,Zacharyburgh,4,2019-08-16
8,South Marthastad,2,2020-03-17
9,Ashleyburgh,2,2019-08-04
10,Port Richardborough,1,2021-08-09
11,Bakerview,3,2019-01-10
12,Samanthaport,3,2023-01-03
13,Pittsshire,3,2020-06-04
14,Stevenview,2,2018-11-07
15,Robbinschester,5,2021-06-24
16,Campbellstad,5,2019-05-14
17,Andrewberg,5,2020-11-28
18,South Brenda,3,2022-08-28
19,North Michaelstad,3,2018-08-05
20,New Edwardmouth,5,2020-10-23
