store_id,product_id,quantity,last_update
4,84,4,2022-01-04
1,18,79,2022-08-10
1,7,62,2018-06-22
1,73,67,2021-11-05
5,64,89,2020-01-01
2,62,34,2019-04-23
1,50,53,2020-11-21
5,23,1,2020-12-29
5,34,53,2023-03-11
3,21,100,2023-01-20
1,75,77,2020-06-07
3,57,52,2020-04-03
4,33,87,2021-11-30
5,46,7,2019-08-16
3,31,17,2021-07-08
1,57,57,2021-11-27
3,32,37,2022-06-27
3,15,45,2023-01-05
5,73,72,2020-09-06
4,92,69,2021-02-14
4,65,37,2022-04-30
3,90,13,2022-02-21
4,95,37,2022-04-07
4,74,5,2022-11-15
5,56,73,2019-11-22
1,68,72,2022-09-11
1,86,56,2022-05-19
1,96,45,2020-10-02
4,33,8,2019-01-02
3,75,27,2020-03-18
3,92,18,2020-08-20
3,27,65,2021-01-11
4,26,78,2018-11-17
1,38,57,2022-01-22
1,28,26,2020-03-29
4,79,22,2022-05-28
4,32,91,2019-01-11
5,7,50,2020-04-12
1,60,35,2019-03-08
3,22,89,2022-10-17
3,81,41,2019-09-09
1,26,39,2018-09-10
1,18,2,2019-03-02
2,40,90,2022-09-05
4,80,3,2020-12-27
5,8,74,2019-11-18
1,20,80,2022-07-27
5,2,93,2020-01-31
3,44,35,2018-05-04
4,9,79,2019-04-11
4,77,4,2021-07-22
5,85,79,2023-02-03
1,93,82,2019-11-24
2,32,19,2021-06-03
3,23,15,2020-07-15
4,78,40,2021-06-25
4,32,89,2023-02-13
4,70,63,2018-11-24
5,36,81,2021-06-08
3,20,75,2022-04-23
5,75,79,2018-07-03
3,84,39,2019-06-04
1,68,58,2019-11-01
2,72,60,2020-03-29
1,5,96,2022-05-23
5,92,40,2022-07-25
2,49,46,2018-09-03
1,24,77,2019-08-03
2,68,46,2018-07-06
5,38,61,2021-01-21
4,91,84,2019-03-16
1,95,7,2021-06-05
4,87,79,2018-10-08
1,48,26,2021-04-03
3,100,42,2022-03-03
2,69,56,2023-04-01
3,44,24,2019-12-05
3,94,80,2018-07-03
3,59,40,2018-05-20
1,52,93,2022-07-22
5,33,92,2022-10-13
1,13,10,2021-01-09
5,9,47,2018-09-20
2,48,82,2020-09-19
1,34,75,2022-04-14
2,50,88,2019-10-01
1,81,29,2021-06-15
2,12,82,2022-03-20
2,18,5,2020-04-10
3,61,3,2021-04-21
5,96,34,2021-11-02
3,64,23,2020-06-01
5,52,99,2019-07-03
1,1,27,2021-07-18
3,56,8,2020-03-16
5,46,4,2022-09-15
1,78,9,2021-04-29
4,1,11,2021-02-01
4,27,13,2022-01-20
1,35,49,2018-10-11
4,12,60,2022-11-07
5,20,73,2021-11-15
5,82,19,2021-08-30
2,23,74,2020-08-01
5,37,88,2020-02-01
1,55,73,2020-05-20
4,98,24,2021-08-31
5,51,35,2019-04-21
4,18,52,2022-11-28
1,92,58,2019-04-17
4,27,62,2020-02-23
1,24,65,2022-07-25
5,20,67,2018-08-26
1,18,70,2020-01-24
5,31,72,2019-11-02
2,47,17,2019-08-01
5,15,52,2018-10-09
5,99,26,2020-04-25
2,79,74,2020-01-06
2,33,96,2022-12-29
3,54,39,2023-02-14
1,93,81,2018-10-13
4,71,77,2018-05-31
1,83,86,2023-03-14
