id,name,brand_id,category_id,model_year,list_price,sales,last_update
1,Multifunctional Drone,8,3,2020,5177.03,2289,2019-03-23
2,Wireless Laptop,4,3,2002,9909.31,3008,2019-03-29
3,High-Performance Headphones,2,7,2019,214.11,1256,2019-12-20
4,Ergonomic Printer,1,4,2000,5830.76,2406,2019-07-30
5,Ergonomic Headphones,10,9,2020,3294.61,2336,2018-10-13
6,Waterproof Speaker,1,7,2010,5922.45,1878,2020-04-24
7,High-Performance Keyboard,6,7,2018,6991.49,3617,2023-03-22
8,Bluetooth Mouse,6,1,2017,5400.03,1123,2020-12-05
9,Wireless Camera,3,9,2017,9255.81,2430,2019-06-22
10,Lightweight Smartphone,1,7,2005,2208.17,324,2022-02-16
11,Waterproof Charger,6,4,2017,1970.77,530,2021-04-16
12,Wireless Charger,2,8,2020,3333.44,2198,2020-07-03
13,Lightweight Printer,2,1,2019,5947.66,1937,2021-05-03
14,Multifunctional Camera,9,3,2020,248.36,611,2020-11-02
15,Waterproof Keyboard,3,2,2014,5853.65,786,2022-03-02
16,Bluetooth Headphones,3,4,2000,2318.08,1200,2020-05-10
17,Wireless Printer,8,1,2022,668.26,3070,2022-09-16
18,Heavy-Duty Laptop,3,5,2005,9088.67,4255,2021-03-03
19,Compact Camera,1,5,2017,3908.34,4120,2020-02-13
20,Portable Laptop,6,8,2002,350.59,273,2019-01-27
21,Ergonomic Smartphone,6,4,2012,5248.02,91,2019-04-04
22,Bluetooth Laptop,6,1,2013,8401.96,4451,2018-10-15
23,Heavy-Duty Charger,10,6,2000,3188.8,4177,2023-03-20
24,Compact Speaker,2,7,2008,8985.99,72,2021-10-15
25,Multifunctional Speaker,10,7,2017,1990.64,131,2019-07-29
26,Heavy-Duty Charger,1,7,2012,490.68,2645,2021-06-30
27,Portable Speaker,10,4,2007,8080.42,206,2022-09-30
28,Portable Keyboard,3,2,2007,3728.05,4532,2021-07-20
29,Wireless Camera,9,2,2014,8325.05,3110,2019-05-12
30,Portable Keyboard,8,6,2009,3273.95,1961,2021-10-15
31,High-Performance Smartphone,9,9,2009,9439.28,260,2021-03-22
32,Heavy-Duty Keyboard,3,6,2022,5264.06,3291,2020-07-13
33,Portable Charger,7,5,2023,8071.44,2952,2022-12-30
34,High-Performance Printer,2,5,2018,9186.18,1072,2018-12-22
35,Heavy-Duty Printer,1,8,2002,2833.31,128,2020-04-27
36,Bluetooth Headphones,7,6,2010,7865.65,3011,2021-10-11
37,Bluetooth Charger,3,3,2015,9393.65,1307,2018-07-16
38,High-Performance Mouse,3,5,2017,2444.57,2949,2022-03-26
39,Compact Mouse,8,2,2020,6249.66,1911,2023-03-19
40,Lightweight Keyboard,5,1,2019,9773.93,246,2019-06-02
41,Bluetooth Headphones,8,9,2001,4578.26,1587,2022-01-09
42,Heavy-Duty Mouse,6,4,2017,2035.76,732,2019-09-04
43,High-Performance Mouse,2,9,2007,5456.82,1946,2020-08-23
44,Waterproof Keyboard,4,1,2012,4898.32,3432,2020-12-02
45,Heavy-Duty Mouse,10,2,2022,3578.5,129,2018-05-13
46,High-Performance Keyboard,1,5,2018,6523.19,3894,2020-05-03
47,Portable Camera,1,5,2006,4973.13,1479,2018-10-31
48,Heavy-Duty Smartphone,4,3,2009,3897.2,855,2021-05-31
49,Waterproof Smartphone,7,1,2015,9616.12,1151,2018-05-31
50,High-Performance Smartphone,5,9,2012,775.02,3977,2019-02-05
51,High-Performance Headphones,6,2,2007,2243.94,1529,2018-10-09
52,Lightweight Keyboard,4,8,2015,2980.59,3345,2021-06-24
53,Waterproof Drone,1,1,2010,8057.45,4191,2021-04-27
54,Heavy-Duty Printer,1,10,2003,5471.4,2719,2021-06-09
55,High-Performance Headphones,4,2,2009,3087.21,4739,2019-05-10
56,Compact Charger,4,9,2001,6496.58,1228,2023-01-30
57,Wireless Speaker,8,3,2017,5230.36,2682,2019-06-16
58,Portable Drone,9,9,2007,9838.07,404,2019-12-31
59,Wireless Charger,1,4,2018,9695.17,4560,2020-01-29
60,Heavy-Duty Printer,10,2,2018,506.03,2661,2023-01-15
61,Multifunctional Smartphone,1,1,2010,8823.02,4353,2021-11-16
62,Compact Laptop,7,8,2019,1585.4,1349,2020-09-09
63,Compact Speaker,6,4,2008,6326.7,4313,2021-12-09
64,Bluetooth Smartphone,4,8,2020,5819.35,3793,2018-08-09
65,Waterproof Smartphone,10,5,2012,3172.41,4369,2023-01-05
66,Ergonomic Speaker,8,3,2006,6510.48,3331,2022-03-03
67,Multifunctional Smartphone,9,10,2006,3017.67,2052,2018-05-30
68,Lightweight Headphones,5,7,2015,9768.98,1032,2022-10-11
69,Portable Smartphone,4,1,2000,5868.63,1792,2019-08-07
70,High-Performance Printer,1,5,2011,1923.67,2787,2018-05-06
71,High-Performance Charger,5,9,2018,6466.62,1801,2023-03-20
72,Lightweight Camera,6,3,2015,9001.01,1239,2020-11-21
73,Waterproof Smartphone,9,5,2007,4107.36,3276,2022-10-14
74,Bluetooth Charger,7,4,2011,6723.44,4699,2022-06-06
75,Heavy-Duty Camera,2,6,2020,9682.6,3290,2022-08-23
76,Multifunctional Keyboard,5,5,2018,3005.09,743,2021-01-17
77,Multifunctional Printer,7,10,2017,1107.51,712,2022-04-08
78,Multifunctional Charger,5,5,2005,9270.92,4639,2019-08-28
79,Bluetooth Keyboard,1,9,2019,5394.22,1563,2018-09-02
80,Wireless Camera,5,5,2005,8215.61,1550,2021-07-06
81,Compact Charger,1,6,2010,375.86,1226,2020-02-10
82,Multifunctional Keyboard,6,3,2010,6457.08,1775,2020-09-04
83,Waterproof Headphones,7,8,2007,809.9,1531,2019-02-06
84,Ergonomic Charger,7,1,2010,3978.77,2835,2019-11-16
85,Waterproof Speaker,7,4,2004,7221.92,4408,2022-01-24
86,Ergonomic Laptop,2,9,2023,8569.22,2650,2020-12-21
87,Heavy-Duty Camera,2,6,2002,1225.13,1065,2018-08-07
88,Lightweight Mouse,9,6,2007,9591.6,926,2020-09-21
89,Multifunctional Smartphone,8,1,2007,4449.3,1393,2022-12-20
90,Bluetooth Drone,4,1,2015,189.47,235,2023-02-17
91,Ergonomic Speaker,9,7,2003,9514.98,2214,2022-07-04
92,Heavy-Duty Printer,2,8,2004,9068.16,1817,2019-11-18
93,Ergonomic Drone,7,8,2019,5876.98,3355,2020-11-28
94,Lightweight Laptop,5,7,2004,5939.66,2448,2019-08-07
95,Waterproof Camera,4,3,2023,3625.55,721,2022-05-11
96,Lightweight Mouse,10,8,2008,653.05,1721,2022-03-09
97,Multifunctional Mouse,6,2,2001,6477.64,4265,2020-07-14
98,Multifunctional Smartphone,9,6,2009,3807.69,4255,2021-06-17
99,Waterproof Drone,2,1,2011,5951.15,174,2018-06-20
100,Lightweight Charger,2,1,2017,2095.03,2546,2022-02-18
